Staff_group,Reason,SA_rate_pct,Reason_code,Reason_name,Month
Other and Local HCHS Doctor Grades,S28 Injury fracture,12,S28,Injury fracture,2022-08
Staff Grade,S10 Anxiety/stress/depression/other psychiatric illnesses,11.8,S10,Anxiety/stress/depression/other psychiatric illnesses,2022-08
Staff Grade,S13 Cold Cough Flu - Influenza,11.8,S13,Cold Cough Flu - Influenza,2022-08
Core Training,S13 Cold Cough Flu - Influenza,11.8,S13,Cold Cough Flu - Influenza,2022-08
Consultant,S27 Infectious diseases,11.7,S27,Infectious diseases,2022-08
HCHS doctors,S27 Infectious diseases,11.5,S27,Infectious diseases,2022-08
Senior managers,S98 Other known causes - not elsewhere classified,11.3,S98,Other known causes - not elsewhere classified,2022-08
Specialty Doctor,S27 Infectious diseases,11.1,S27,Infectious diseases,2022-08
Ambulance staff,S28 Injury fracture,11,S28,Injury fracture,2022-08
Other and Local HCHS Doctor Grades,S98 Other known causes - not elsewhere classified,10.9,S98,Other known causes - not elsewhere classified,2022-08
Foundation Doctor Year 1,S15 Chest & respiratory problems,10.8,S15,Chest & respiratory problems,2022-08
Hospital Practitioner / Clinical Assistant,S28 Injury fracture,10.8,S28,Injury fracture,2022-08
Specialty Registrar,S27 Infectious diseases,10.5,S27,Infectious diseases,2022-08
"Support to doctors, nurses & midwives",S12 Other musculoskeletal problems,10.3,S12,Other musculoskeletal problems,2022-08
Senior managers,S17 Benign and malignant tumours cancers,10.3,S17,Benign and malignant tumours cancers,2022-08
Consultant,S98 Other known causes - not elsewhere classified,10.3,S98,Other known causes - not elsewhere classified,2022-08
HCHS doctors,S98 Other known causes - not elsewhere classified,10.2,S98,Other known causes - not elsewhere classified,2022-08
Specialty Registrar,S98 Other known causes - not elsewhere classified,10.2,S98,Other known causes - not elsewhere classified,2022-08
Core Training,S98 Other known causes - not elsewhere classified,10.1,S98,Other known causes - not elsewhere classified,2022-08
Specialty Registrar,S15 Chest & respiratory problems,10,S15,Chest & respiratory problems,2022-08
Core Training,S25 Gastrointestinal problems,10,S25,Gastrointestinal problems,2022-08
Foundation Doctor Year 2,S98 Other known causes - not elsewhere classified,10,S98,Other known causes - not elsewhere classified,2022-08
Support to clinical staff,S12 Other musculoskeletal problems,9.9,S12,Other musculoskeletal problems,2022-08
Specialty Registrar,S13 Cold Cough Flu - Influenza,9.9,S13,Cold Cough Flu - Influenza,2022-08
Associate Specialist,S98 Other known causes - not elsewhere classified,9.7,S98,Other known causes - not elsewhere classified,2022-08
Specialty Doctor,S98 Other known causes - not elsewhere classified,9.7,S98,Other known causes - not elsewhere classified,2022-08
NHS infrastructure support,S12 Other musculoskeletal problems,9.6,S12,Other musculoskeletal problems,2022-08
HCHS doctors,S13 Cold Cough Flu - Influenza,9.3,S13,Cold Cough Flu - Influenza,2022-08
Ambulance staff,S27 Infectious diseases,9.3,S27,Infectious diseases,2022-08
"Scientific, therapeutic & technical staff",S27 Infectious diseases,9.3,S27,Infectious diseases,2022-08
Hospital Practitioner / Clinical Assistant,S27 Infectious diseases,9.2,S27,Infectious diseases,2022-08
All staff groups,S12 Other musculoskeletal problems,9,S12,Other musculoskeletal problems,2022-08
Support to ST&T staff,S12 Other musculoskeletal problems,8.9,S12,Other musculoskeletal problems,2022-08
Core Training,S15 Chest & respiratory problems,8.9,S15,Chest & respiratory problems,2022-08
Hospital Practitioner / Clinical Assistant,S15 Chest & respiratory problems,8.9,S15,Chest & respiratory problems,2022-08
Managers,S98 Other known causes - not elsewhere classified,8.7,S98,Other known causes - not elsewhere classified,2022-08
Nurses & health visitors,S12 Other musculoskeletal problems,8.6,S12,Other musculoskeletal problems,2022-08
Ambulance staff,S12 Other musculoskeletal problems,8.5,S12,Other musculoskeletal problems,2022-08
Specialty Doctor,S13 Cold Cough Flu - Influenza,8.5,S13,Cold Cough Flu - Influenza,2022-08
Professionally qualified clinical staff,S27 Infectious diseases,8.5,S27,Infectious diseases,2022-08
HCHS doctors,S15 Chest & respiratory problems,8.4,S15,Chest & respiratory problems,2022-08
Support to ST&T staff,S25 Gastrointestinal problems,8.4,S25,Gastrointestinal problems,2022-08
Other staff or those with unknown classification,S25 Gastrointestinal problems,8.4,S25,Gastrointestinal problems,2022-08
Support to ambulance staff,S12 Other musculoskeletal problems,8.3,S12,Other musculoskeletal problems,2022-08
Support to ambulance staff,S27 Infectious diseases,8.3,S27,Infectious diseases,2022-08
"Scientific, therapeutic & technical staff",S25 Gastrointestinal problems,8.2,S25,Gastrointestinal problems,2022-08
Foundation Doctor Year 1,S98 Other known causes - not elsewhere classified,8.2,S98,Other known causes - not elsewhere classified,2022-08
Associate Specialist,S13 Cold Cough Flu - Influenza,8.1,S13,Cold Cough Flu - Influenza,2022-08
Specialty Registrar,S25 Gastrointestinal problems,8,S25,Gastrointestinal problems,2022-08
Professionally qualified clinical staff,S12 Other musculoskeletal problems,7.9,S12,Other musculoskeletal problems,2022-08
Associate Specialist,S12 Other musculoskeletal problems,7.9,S12,Other musculoskeletal problems,2022-08
Nurses & health visitors,S27 Infectious diseases,7.9,S27,Infectious diseases,2022-08
Other and Local HCHS Doctor Grades,S11 Back Problems,7.8,S11,Back Problems,2022-08
Consultant,S15 Chest & respiratory problems,7.8,S15,Chest & respiratory problems,2022-08
Support to clinical staff,S25 Gastrointestinal problems,7.8,S25,Gastrointestinal problems,2022-08
Support to ambulance staff,S25 Gastrointestinal problems,7.8,S25,Gastrointestinal problems,2022-08
Midwives,S27 Infectious diseases,7.8,S27,Infectious diseases,2022-08
Central functions,S98 Other known causes - not elsewhere classified,7.8,S98,Other known causes - not elsewhere classified,2022-08
Core Training,S99 Unknown causes / Not specified,7.8,S99,Unknown causes / Not specified,2022-08
Foundation Doctor Year 2,S15 Chest & respiratory problems,7.7,S15,Chest & respiratory problems,2022-08
"Support to doctors, nurses & midwives",S25 Gastrointestinal problems,7.7,S25,Gastrointestinal problems,2022-08
All staff groups,S25 Gastrointestinal problems,7.6,S25,Gastrointestinal problems,2022-08
Professionally qualified clinical staff,S25 Gastrointestinal problems,7.6,S25,Gastrointestinal problems,2022-08
Nurses & health visitors,S25 Gastrointestinal problems,7.6,S25,Gastrointestinal problems,2022-08
"Hotel, property & estates",S25 Gastrointestinal problems,7.6,S25,Gastrointestinal problems,2022-08
Consultant,S13 Cold Cough Flu - Influenza,7.5,S13,Cold Cough Flu - Influenza,2022-08
"Scientific, therapeutic & technical staff",S13 Cold Cough Flu - Influenza,7.5,S13,Cold Cough Flu - Influenza,2022-08
Midwives,S12 Other musculoskeletal problems,7.4,S12,Other musculoskeletal problems,2022-08
Ambulance staff,S25 Gastrointestinal problems,7.4,S25,Gastrointestinal problems,2022-08
All staff groups,S27 Infectious diseases,7.4,S27,Infectious diseases,2022-08
Support to ST&T staff,S27 Infectious diseases,7.4,S27,Infectious diseases,2022-08
"Hotel, property & estates",S28 Injury fracture,7.4,S28,Injury fracture,2022-08
Other staff or those with unknown classification,S99 Unknown causes / Not specified,7.3,S99,Unknown causes / Not specified,2022-08
"Scientific, therapeutic & technical staff",S12 Other musculoskeletal problems,7.2,S12,Other musculoskeletal problems,2022-08
Support to ambulance staff,S28 Injury fracture,7.2,S28,Injury fracture,2022-08
Senior managers,S15 Chest & respiratory problems,7.1,S15,Chest & respiratory problems,2022-08
Associate Specialist,S17 Benign and malignant tumours cancers,7.1,S17,Benign and malignant tumours cancers,2022-08
NHS infrastructure support,S25 Gastrointestinal problems,7.1,S25,Gastrointestinal problems,2022-08
"Hotel, property & estates",S11 Back Problems,7,S11,Back Problems,2022-08
NHS infrastructure support,S98 Other known causes - not elsewhere classified,7,S98,Other known causes - not elsewhere classified,2022-08
Specialty Doctor,S99 Unknown causes / Not specified,7,S99,Unknown causes / Not specified,2022-08
Professionally qualified clinical staff,S13 Cold Cough Flu - Influenza,6.9,S13,Cold Cough Flu - Influenza,2022-08
"Scientific, therapeutic & technical staff",S15 Chest & respiratory problems,6.9,S15,Chest & respiratory problems,2022-08
Central functions,S25 Gastrointestinal problems,6.9,S25,Gastrointestinal problems,2022-08
Nurses & health visitors,S13 Cold Cough Flu - Influenza,6.8,S13,Cold Cough Flu - Influenza,2022-08
Senior managers,S13 Cold Cough Flu - Influenza,6.8,S13,Cold Cough Flu - Influenza,2022-08
Support to clinical staff,S27 Infectious diseases,6.8,S27,Infectious diseases,2022-08
Hospital Practitioner / Clinical Assistant,S11 Back Problems,6.7,S11,Back Problems,2022-08
Ambulance staff,S11 Back Problems,6.7,S11,Back Problems,2022-08
Hospital Practitioner / Clinical Assistant,S19 Heart cardiac & circulatory problems,6.7,S19,Heart cardiac & circulatory problems,2022-08
Foundation Doctor Year 2,S99 Unknown causes / Not specified,6.7,S99,Unknown causes / Not specified,2022-08
HCHS doctors,S25 Gastrointestinal problems,6.6,S25,Gastrointestinal problems,2022-08
"Scientific, therapeutic & technical staff",S98 Other known causes - not elsewhere classified,6.6,S98,Other known causes - not elsewhere classified,2022-08
Specialty Doctor,S15 Chest & respiratory problems,6.5,S15,Chest & respiratory problems,2022-08
"Support to doctors, nurses & midwives",S27 Infectious diseases,6.5,S27,Infectious diseases,2022-08
Other and Local HCHS Doctor Grades,S13 Cold Cough Flu - Influenza,6.4,S13,Cold Cough Flu - Influenza,2022-08
Professionally qualified clinical staff,S15 Chest & respiratory problems,6.4,S15,Chest & respiratory problems,2022-08
Senior managers,S27 Infectious diseases,6.4,S27,Infectious diseases,2022-08
All staff groups,S98 Other known causes - not elsewhere classified,6.4,S98,Other known causes - not elsewhere classified,2022-08
Professionally qualified clinical staff,S98 Other known causes - not elsewhere classified,6.4,S98,Other known causes - not elsewhere classified,2022-08
Support to ambulance staff,S11 Back Problems,6.3,S11,Back Problems,2022-08
Support to ST&T staff,S13 Cold Cough Flu - Influenza,6.3,S13,Cold Cough Flu - Influenza,2022-08
Midwives,S15 Chest & respiratory problems,6.3,S15,Chest & respiratory problems,2022-08
Midwives,S25 Gastrointestinal problems,6.3,S25,Gastrointestinal problems,2022-08
Foundation Doctor Year 2,S28 Injury fracture,6.3,S28,Injury fracture,2022-08
"Support to doctors, nurses & midwives",S98 Other known causes - not elsewhere classified,6.3,S98,Other known causes - not elsewhere classified,2022-08
Consultant,S99 Unknown causes / Not specified,6.3,S99,Unknown causes / Not specified,2022-08
Central functions,S15 Chest & respiratory problems,6.2,S15,Chest & respiratory problems,2022-08
Managers,S17 Benign and malignant tumours cancers,6.2,S17,Benign and malignant tumours cancers,2022-08
HCHS doctors,S99 Unknown causes / Not specified,6.2,S99,Unknown causes / Not specified,2022-08
NHS infrastructure support,S15 Chest & respiratory problems,6.1,S15,Chest & respiratory problems,2022-08
Consultant,S17 Benign and malignant tumours cancers,6.1,S17,Benign and malignant tumours cancers,2022-08
Other and Local HCHS Doctor Grades,S17 Benign and malignant tumours cancers,6.1,S17,Benign and malignant tumours cancers,2022-08
Nurses & health visitors,S98 Other known causes - not elsewhere classified,6.1,S98,Other known causes - not elsewhere classified,2022-08
Support to clinical staff,S98 Other known causes - not elsewhere classified,6.1,S98,Other known causes - not elsewhere classified,2022-08
All staff groups,S13 Cold Cough Flu - Influenza,6,S13,Cold Cough Flu - Influenza,2022-08
Central functions,S13 Cold Cough Flu - Influenza,6,S13,Cold Cough Flu - Influenza,2022-08
Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,6,S13,Cold Cough Flu - Influenza,2022-08
All staff groups,S15 Chest & respiratory problems,6,S15,Chest & respiratory problems,2022-08
Nurses & health visitors,S15 Chest & respiratory problems,6,S15,Chest & respiratory problems,2022-08
"Hotel, property & estates",S15 Chest & respiratory problems,6,S15,Chest & respiratory problems,2022-08
Midwives,S98 Other known causes - not elsewhere classified,6,S98,Other known causes - not elsewhere classified,2022-08
Support to ST&T staff,S98 Other known causes - not elsewhere classified,6,S98,Other known causes - not elsewhere classified,2022-08
Managers,S15 Chest & respiratory problems,5.9,S15,Chest & respiratory problems,2022-08
Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,5.9,S98,Other known causes - not elsewhere classified,2022-08
Consultant,S12 Other musculoskeletal problems,5.8,S12,Other musculoskeletal problems,2022-08
Support to ambulance staff,S15 Chest & respiratory problems,5.8,S15,Chest & respiratory problems,2022-08
Support to ST&T staff,S15 Chest & respiratory problems,5.8,S15,Chest & respiratory problems,2022-08
Managers,S27 Infectious diseases,5.8,S27,Infectious diseases,2022-08
Associate Specialist,S28 Injury fracture,5.8,S28,Injury fracture,2022-08
Foundation Doctor Year 1,S28 Injury fracture,5.8,S28,Injury fracture,2022-08
Associate Specialist,S99 Unknown causes / Not specified,5.8,S99,Unknown causes / Not specified,2022-08
Senior managers,S99 Unknown causes / Not specified,5.8,S99,Unknown causes / Not specified,2022-08
Support to clinical staff,S15 Chest & respiratory problems,5.7,S15,Chest & respiratory problems,2022-08
NHS infrastructure support,S27 Infectious diseases,5.7,S27,Infectious diseases,2022-08
Central functions,S27 Infectious diseases,5.7,S27,Infectious diseases,2022-08
"Hotel, property & estates",S27 Infectious diseases,5.7,S27,Infectious diseases,2022-08
"Hotel, property & estates",S98 Other known causes - not elsewhere classified,5.7,S98,Other known causes - not elsewhere classified,2022-08
Central functions,S12 Other musculoskeletal problems,5.6,S12,Other musculoskeletal problems,2022-08
Managers,S13 Cold Cough Flu - Influenza,5.6,S13,Cold Cough Flu - Influenza,2022-08
"Support to doctors, nurses & midwives",S15 Chest & respiratory problems,5.6,S15,Chest & respiratory problems,2022-08
Other staff or those with unknown classification,S15 Chest & respiratory problems,5.6,S15,Chest & respiratory problems,2022-08
Other staff or those with unknown classification,S16 Headache / migraine,5.6,S16,Headache / migraine,2022-08
Staff Grade,S25 Gastrointestinal problems,5.5,S25,Gastrointestinal problems,2022-08
Specialty Doctor,S28 Injury fracture,5.5,S28,Injury fracture,2022-08
Support to clinical staff,S28 Injury fracture,5.5,S28,Injury fracture,2022-08
Specialty Registrar,S99 Unknown causes / Not specified,5.5,S99,Unknown causes / Not specified,2022-08
Staff Grade,S16 Headache / migraine,5.4,S16,Headache / migraine,2022-08
Specialty Doctor,S25 Gastrointestinal problems,5.4,S25,Gastrointestinal problems,2022-08
Other and Local HCHS Doctor Grades,S26 Genitourinary & gynaecological disorders,5.4,S26,Genitourinary & gynaecological disorders,2022-08
"Support to doctors, nurses & midwives",S28 Injury fracture,5.4,S28,Injury fracture,2022-08
Specialty Doctor,S11 Back Problems,5.3,S11,Back Problems,2022-08
Midwives,S13 Cold Cough Flu - Influenza,5.3,S13,Cold Cough Flu - Influenza,2022-08
Support to clinical staff,S13 Cold Cough Flu - Influenza,5.3,S13,Cold Cough Flu - Influenza,2022-08
"Support to doctors, nurses & midwives",S13 Cold Cough Flu - Influenza,5.3,S13,Cold Cough Flu - Influenza,2022-08
NHS infrastructure support,S13 Cold Cough Flu - Influenza,5.3,S13,Cold Cough Flu - Influenza,2022-08
NHS infrastructure support,S28 Injury fracture,5.3,S28,Injury fracture,2022-08
Associate Specialist,S15 Chest & respiratory problems,5.2,S15,Chest & respiratory problems,2022-08
Senior managers,S25 Gastrointestinal problems,5.2,S25,Gastrointestinal problems,2022-08
Core Training,S28 Injury fracture,5.2,S28,Injury fracture,2022-08
Nurses & health visitors,S30 Pregnancy related disorders,5.2,S30,Pregnancy related disorders,2022-08
Managers,S99 Unknown causes / Not specified,5.2,S99,Unknown causes / Not specified,2022-08
NHS infrastructure support,S11 Back Problems,5.1,S11,Back Problems,2022-08
Other staff or those with unknown classification,S12 Other musculoskeletal problems,5.1,S12,Other musculoskeletal problems,2022-08
All staff groups,S28 Injury fracture,5.1,S28,Injury fracture,2022-08
Support to clinical staff,S11 Back Problems,5,S11,Back Problems,2022-08
"Support to doctors, nurses & midwives",S11 Back Problems,5,S11,Back Problems,2022-08
Other and Local HCHS Doctor Grades,S15 Chest & respiratory problems,5,S15,Chest & respiratory problems,2022-08
Ambulance staff,S15 Chest & respiratory problems,5,S15,Chest & respiratory problems,2022-08
Support to ST&T staff,S28 Injury fracture,5,S28,Injury fracture,2022-08
Ambulance staff,S98 Other known causes - not elsewhere classified,4.9,S98,Other known causes - not elsewhere classified,2022-08
Managers,S25 Gastrointestinal problems,4.8,S25,Gastrointestinal problems,2022-08
HCHS doctors,S28 Injury fracture,4.8,S28,Injury fracture,2022-08
Support to ST&T staff,S11 Back Problems,4.7,S11,Back Problems,2022-08
Managers,S12 Other musculoskeletal problems,4.7,S12,Other musculoskeletal problems,2022-08
Support to ambulance staff,S98 Other known causes - not elsewhere classified,4.7,S98,Other known causes - not elsewhere classified,2022-08
Specialty Doctor,S12 Other musculoskeletal problems,4.6,S12,Other musculoskeletal problems,2022-08
Professionally qualified clinical staff,S28 Injury fracture,4.6,S28,Injury fracture,2022-08
Midwives,S28 Injury fracture,4.6,S28,Injury fracture,2022-08
All staff groups,S11 Back Problems,4.5,S11,Back Problems,2022-08
"Hotel, property & estates",S13 Cold Cough Flu - Influenza,4.5,S13,Cold Cough Flu - Influenza,2022-08
Consultant,S28 Injury fracture,4.4,S28,Injury fracture,2022-08
Specialty Doctor,S19 Heart cardiac & circulatory problems,4.3,S19,Heart cardiac & circulatory problems,2022-08
Nurses & health visitors,S28 Injury fracture,4.3,S28,Injury fracture,2022-08
HCHS doctors,S12 Other musculoskeletal problems,4.2,S12,Other musculoskeletal problems,2022-08
Foundation Doctor Year 2,S16 Headache / migraine,4.2,S16,Headache / migraine,2022-08
"Scientific, therapeutic & technical staff",S28 Injury fracture,4.2,S28,Injury fracture,2022-08
Professionally qualified clinical staff,S30 Pregnancy related disorders,4.2,S30,Pregnancy related disorders,2022-08
Staff Grade,S99 Unknown causes / Not specified,4.2,S99,Unknown causes / Not specified,2022-08
Foundation Doctor Year 1,S99 Unknown causes / Not specified,4.2,S99,Unknown causes / Not specified,2022-08
Nurses & health visitors,S11 Back Problems,4.1,S11,Back Problems,2022-08
Core Training,S12 Other musculoskeletal problems,4.1,S12,Other musculoskeletal problems,2022-08
Hospital Practitioner / Clinical Assistant,S12 Other musculoskeletal problems,4.1,S12,Other musculoskeletal problems,2022-08
Ambulance staff,S99 Unknown causes / Not specified,4.1,S99,Unknown causes / Not specified,2022-08
Central functions,S17 Benign and malignant tumours cancers,4,S17,Benign and malignant tumours cancers,2022-08
Midwives,S26 Genitourinary & gynaecological disorders,4,S26,Genitourinary & gynaecological disorders,2022-08
Midwives,S30 Pregnancy related disorders,4,S30,Pregnancy related disorders,2022-08
Professionally qualified clinical staff,S11 Back Problems,3.9,S11,Back Problems,2022-08
Foundation Doctor Year 1,S16 Headache / migraine,3.9,S16,Headache / migraine,2022-08
Senior managers,S28 Injury fracture,3.9,S28,Injury fracture,2022-08
NHS infrastructure support,S17 Benign and malignant tumours cancers,3.8,S17,Benign and malignant tumours cancers,2022-08
"Hotel, property & estates",S99 Unknown causes / Not specified,3.8,S99,Unknown causes / Not specified,2022-08
Consultant,S25 Gastrointestinal problems,3.7,S25,Gastrointestinal problems,2022-08
Specialty Registrar,S28 Injury fracture,3.7,S28,Injury fracture,2022-08
Specialty Registrar,S30 Pregnancy related disorders,3.7,S30,Pregnancy related disorders,2022-08
NHS infrastructure support,S99 Unknown causes / Not specified,3.7,S99,Unknown causes / Not specified,2022-08
Central functions,S11 Back Problems,3.6,S11,Back Problems,2022-08
Ambulance staff,S13 Cold Cough Flu - Influenza,3.6,S13,Cold Cough Flu - Influenza,2022-08
HCHS doctors,S17 Benign and malignant tumours cancers,3.6,S17,Benign and malignant tumours cancers,2022-08
"Hotel, property & estates",S19 Heart cardiac & circulatory problems,3.6,S19,Heart cardiac & circulatory problems,2022-08
Nurses & health visitors,S26 Genitourinary & gynaecological disorders,3.6,S26,Genitourinary & gynaecological disorders,2022-08
Other and Local HCHS Doctor Grades,S27 Infectious diseases,3.6,S27,Infectious diseases,2022-08
Central functions,S28 Injury fracture,3.6,S28,Injury fracture,2022-08
Core Training,S16 Headache / migraine,3.5,S16,Headache / migraine,2022-08
"Scientific, therapeutic & technical staff",S26 Genitourinary & gynaecological disorders,3.5,S26,Genitourinary & gynaecological disorders,2022-08
Other staff or those with unknown classification,S28 Injury fracture,3.5,S28,Injury fracture,2022-08
Other and Local HCHS Doctor Grades,S16 Headache / migraine,3.4,S16,Headache / migraine,2022-08
Other and Local HCHS Doctor Grades,S23 Eye problems,3.4,S23,Eye problems,2022-08
Professionally qualified clinical staff,S26 Genitourinary & gynaecological disorders,3.4,S26,Genitourinary & gynaecological disorders,2022-08
Consultant,S11 Back Problems,3.3,S11,Back Problems,2022-08
Senior managers,S12 Other musculoskeletal problems,3.3,S12,Other musculoskeletal problems,2022-08
"Scientific, therapeutic & technical staff",S17 Benign and malignant tumours cancers,3.3,S17,Benign and malignant tumours cancers,2022-08
Associate Specialist,S25 Gastrointestinal problems,3.3,S25,Gastrointestinal problems,2022-08
Hospital Practitioner / Clinical Assistant,S25 Gastrointestinal problems,3.3,S25,Gastrointestinal problems,2022-08
"Support to doctors, nurses & midwives",S26 Genitourinary & gynaecological disorders,3.3,S26,Genitourinary & gynaecological disorders,2022-08
Midwives,S11 Back Problems,3.2,S11,Back Problems,2022-08
Support to ambulance staff,S13 Cold Cough Flu - Influenza,3.2,S13,Cold Cough Flu - Influenza,2022-08
Managers,S19 Heart cardiac & circulatory problems,3.2,S19,Heart cardiac & circulatory problems,2022-08
All staff groups,S26 Genitourinary & gynaecological disorders,3.2,S26,Genitourinary & gynaecological disorders,2022-08
Support to clinical staff,S26 Genitourinary & gynaecological disorders,3.2,S26,Genitourinary & gynaecological disorders,2022-08
Support to ambulance staff,S99 Unknown causes / Not specified,3.2,S99,Unknown causes / Not specified,2022-08
Central functions,S99 Unknown causes / Not specified,3.2,S99,Unknown causes / Not specified,2022-08
HCHS doctors,S11 Back Problems,3.1,S11,Back Problems,2022-08
Associate Specialist,S11 Back Problems,3.1,S11,Back Problems,2022-08
"Scientific, therapeutic & technical staff",S11 Back Problems,3.1,S11,Back Problems,2022-08
Hospital Practitioner / Clinical Assistant,S13 Cold Cough Flu - Influenza,3.1,S13,Cold Cough Flu - Influenza,2022-08
"Hotel, property & estates",S17 Benign and malignant tumours cancers,3.1,S17,Benign and malignant tumours cancers,2022-08
Other staff or those with unknown classification,S21 Ear nose throat (ENT),3.1,S21,Ear nose throat (ENT),2022-08
Other and Local HCHS Doctor Grades,S25 Gastrointestinal problems,3.1,S25,Gastrointestinal problems,2022-08
Support to ST&T staff,S26 Genitourinary & gynaecological disorders,3.1,S26,Genitourinary & gynaecological disorders,2022-08
Foundation Doctor Year 1,S17 Benign and malignant tumours cancers,3,S17,Benign and malignant tumours cancers,2022-08
Consultant,S19 Heart cardiac & circulatory problems,3,S19,Heart cardiac & circulatory problems,2022-08
Senior managers,S26 Genitourinary & gynaecological disorders,3,S26,Genitourinary & gynaecological disorders,2022-08
All staff groups,S30 Pregnancy related disorders,3,S30,Pregnancy related disorders,2022-08
"Scientific, therapeutic & technical staff",S30 Pregnancy related disorders,3,S30,Pregnancy related disorders,2022-08
All staff groups,S99 Unknown causes / Not specified,2.9,S99,Unknown causes / Not specified,2022-08
Professionally qualified clinical staff,S99 Unknown causes / Not specified,2.9,S99,Unknown causes / Not specified,2022-08
Central functions,S16 Headache / migraine,2.8,S16,Headache / migraine,2022-08
All staff groups,S17 Benign and malignant tumours cancers,2.8,S17,Benign and malignant tumours cancers,2022-08
Professionally qualified clinical staff,S17 Benign and malignant tumours cancers,2.8,S17,Benign and malignant tumours cancers,2022-08
Support to ambulance staff,S19 Heart cardiac & circulatory problems,2.8,S19,Heart cardiac & circulatory problems,2022-08
NHS infrastructure support,S19 Heart cardiac & circulatory problems,2.8,S19,Heart cardiac & circulatory problems,2022-08
Managers,S28 Injury fracture,2.8,S28,Injury fracture,2022-08
Other and Local HCHS Doctor Grades,S30 Pregnancy related disorders,2.8,S30,Pregnancy related disorders,2022-08
Specialty Registrar,S11 Back Problems,2.7,S11,Back Problems,2022-08
"Scientific, therapeutic & technical staff",S16 Headache / migraine,2.7,S16,Headache / migraine,2022-08
Support to ST&T staff,S16 Headache / migraine,2.7,S16,Headache / migraine,2022-08
Nurses & health visitors,S17 Benign and malignant tumours cancers,2.7,S17,Benign and malignant tumours cancers,2022-08
"Support to doctors, nurses & midwives",S17 Benign and malignant tumours cancers,2.7,S17,Benign and malignant tumours cancers,2022-08
Associate Specialist,S21 Ear nose throat (ENT),2.7,S21,Ear nose throat (ENT),2022-08
Central functions,S26 Genitourinary & gynaecological disorders,2.7,S26,Genitourinary & gynaecological disorders,2022-08
Managers,S26 Genitourinary & gynaecological disorders,2.7,S26,Genitourinary & gynaecological disorders,2022-08
Hospital Practitioner / Clinical Assistant,S99 Unknown causes / Not specified,2.7,S99,Unknown causes / Not specified,2022-08
Specialty Registrar,S12 Other musculoskeletal problems,2.6,S12,Other musculoskeletal problems,2022-08
Associate Specialist,S16 Headache / migraine,2.6,S16,Headache / migraine,2022-08
Other staff or those with unknown classification,S17 Benign and malignant tumours cancers,2.6,S17,Benign and malignant tumours cancers,2022-08
Support to ambulance staff,S26 Genitourinary & gynaecological disorders,2.6,S26,Genitourinary & gynaecological disorders,2022-08
Nurses & health visitors,S99 Unknown causes / Not specified,2.6,S99,Unknown causes / Not specified,2022-08
"Scientific, therapeutic & technical staff",S99 Unknown causes / Not specified,2.6,S99,Unknown causes / Not specified,2022-08
Support to clinical staff,S99 Unknown causes / Not specified,2.6,S99,Unknown causes / Not specified,2022-08
"Support to doctors, nurses & midwives",S99 Unknown causes / Not specified,2.6,S99,Unknown causes / Not specified,2022-08
Specialty Registrar,S16 Headache / migraine,2.5,S16,Headache / migraine,2022-08
Nurses & health visitors,S16 Headache / migraine,2.5,S16,Headache / migraine,2022-08
Support to clinical staff,S17 Benign and malignant tumours cancers,2.5,S17,Benign and malignant tumours cancers,2022-08
Support to ST&T staff,S19 Heart cardiac & circulatory problems,2.5,S19,Heart cardiac & circulatory problems,2022-08
NHS infrastructure support,S26 Genitourinary & gynaecological disorders,2.5,S26,Genitourinary & gynaecological disorders,2022-08
"Support to doctors, nurses & midwives",S30 Pregnancy related disorders,2.5,S30,Pregnancy related disorders,2022-08
Managers,S11 Back Problems,2.4,S11,Back Problems,2022-08
Professionally qualified clinical staff,S16 Headache / migraine,2.4,S16,Headache / migraine,2022-08
Support to ST&T staff,S17 Benign and malignant tumours cancers,2.4,S17,Benign and malignant tumours cancers,2022-08
Support to clinical staff,S30 Pregnancy related disorders,2.4,S30,Pregnancy related disorders,2022-08
All staff groups,S16 Headache / migraine,2.3,S16,Headache / migraine,2022-08
Support to clinical staff,S16 Headache / migraine,2.3,S16,Headache / migraine,2022-08
Support to ambulance staff,S16 Headache / migraine,2.3,S16,Headache / migraine,2022-08
Specialty Registrar,S17 Benign and malignant tumours cancers,2.3,S17,Benign and malignant tumours cancers,2022-08
Midwives,S17 Benign and malignant tumours cancers,2.3,S17,Benign and malignant tumours cancers,2022-08
Support to clinical staff,S19 Heart cardiac & circulatory problems,2.3,S19,Heart cardiac & circulatory problems,2022-08
"Support to doctors, nurses & midwives",S19 Heart cardiac & circulatory problems,2.3,S19,Heart cardiac & circulatory problems,2022-08
"Hotel, property & estates",S26 Genitourinary & gynaecological disorders,2.3,S26,Genitourinary & gynaecological disorders,2022-08
Support to ST&T staff,S99 Unknown causes / Not specified,2.3,S99,Unknown causes / Not specified,2022-08
"Support to doctors, nurses & midwives",S16 Headache / migraine,2.2,S16,Headache / migraine,2022-08
All staff groups,S19 Heart cardiac & circulatory problems,2.2,S19,Heart cardiac & circulatory problems,2022-08
Support to ST&T staff,S21 Ear nose throat (ENT),2.2,S21,Ear nose throat (ENT),2022-08
Midwives,S99 Unknown causes / Not specified,2.2,S99,Unknown causes / Not specified,2022-08
